#Incident Continuum, Enr	nFn 
4.40745e-08	1.111e-10
4.42954e-08	1.128e-10
4.45174e-08	1.145e-10
4.47405e-08	1.162e-10
4.49648e-08	1.180e-10
4.51901e-08	1.197e-10
4.54166e-08	1.216e-10
4.56442e-08	1.234e-10
4.58730e-08	1.253e-10
4.61029e-08	1.271e-10
4.63340e-08	1.291e-10
4.65662e-08	1.310e-10
4.67996e-08	1.330e-10
4.70341e-08	1.350e-10
4.72698e-08	1.370e-10
4.75068e-08	1.391e-10
4.77448e-08	1.412e-10
4.79841e-08	1.433e-10
4.82246e-08	1.455e-10
4.84663e-08	1.477e-10
4.87092e-08	1.499e-10
4.89533e-08	1.522e-10
4.91987e-08	1.545e-10
4.94453e-08	1.568e-10
4.96931e-08	1.592e-10
4.99421e-08	1.616e-10
5.01924e-08	1.641e-10
5.04440e-08	1.665e-10
5.06968e-08	1.691e-10
5.09509e-08	1.716e-10
5.12062e-08	1.742e-10
5.14629e-08	1.768e-10
5.17208e-08	1.795e-10
5.19800e-08	1.822e-10
5.22405e-08	1.850e-10
5.25024e-08	1.878e-10
5.27655e-08	1.906e-10
5.30299e-08	1.935e-10
5.32957e-08	1.964e-10
5.35628e-08	1.994e-10
5.38313e-08	2.024e-10
5.41011e-08	2.054e-10
5.43722e-08	2.086e-10
5.46447e-08	2.117e-10
5.49186e-08	2.149e-10
5.51938e-08	2.181e-10
5.54705e-08	2.214e-10
5.57485e-08	2.248e-10
5.60279e-08	2.282e-10
5.63087e-08	2.316e-10
5.65909e-08	2.351e-10
5.68745e-08	2.387e-10
5.71596e-08	2.423e-10
5.74460e-08	2.460e-10
5.77339e-08	2.497e-10
5.80233e-08	2.534e-10
5.83141e-08	2.573e-10
5.86064e-08	2.612e-10
5.89001e-08	2.651e-10
5.91953e-08	2.691e-10
5.94920e-08	2.732e-10
5.97901e-08	2.773e-10
6.00898e-08	2.815e-10
6.03909e-08	2.857e-10
6.06936e-08	2.901e-10
6.09978e-08	2.944e-10
6.13035e-08	2.989e-10
6.16107e-08	3.034e-10
6.19195e-08	3.080e-10
6.22299e-08	3.126e-10
6.25417e-08	3.174e-10
6.28552e-08	3.222e-10
6.31702e-08	3.270e-10
6.34868e-08	3.320e-10
6.38050e-08	3.370e-10
6.41248e-08	3.421e-10
6.44462e-08	3.472e-10
6.47692e-08	3.525e-10
6.50938e-08	3.578e-10
6.54200e-08	3.632e-10
6.57479e-08	3.687e-10
6.60774e-08	3.743e-10
6.64086e-08	3.799e-10
6.67414e-08	3.857e-10
6.70759e-08	3.915e-10
6.74121e-08	3.974e-10
6.77499e-08	4.034e-10
6.80895e-08	4.095e-10
6.84307e-08	4.157e-10
6.87737e-08	4.220e-10
6.91184e-08	4.284e-10
6.94648e-08	4.348e-10
6.98129e-08	4.414e-10
7.01628e-08	4.481e-10
7.05145e-08	4.548e-10
7.08679e-08	4.617e-10
7.12230e-08	4.687e-10
7.15800e-08	4.758e-10
7.19388e-08	4.830e-10
7.22993e-08	4.903e-10
7.26617e-08	4.977e-10
7.30258e-08	5.052e-10
7.33918e-08	5.128e-10
7.37596e-08	5.206e-10
7.41293e-08	5.284e-10
7.45008e-08	5.364e-10
7.48742e-08	5.445e-10
7.52495e-08	5.527e-10
7.56266e-08	5.611e-10
7.60056e-08	5.696e-10
7.63866e-08	5.782e-10
7.67694e-08	5.869e-10
7.71542e-08	5.958e-10
7.75409e-08	6.048e-10
7.79295e-08	6.139e-10
7.83200e-08	6.232e-10
7.87126e-08	6.326e-10
7.91071e-08	6.422e-10
7.95035e-08	6.519e-10
7.99020e-08	6.617e-10
8.03024e-08	6.717e-10
8.07049e-08	6.818e-10
8.11094e-08	6.921e-10
8.15159e-08	7.026e-10
8.19244e-08	7.132e-10
8.23350e-08	7.240e-10
8.27477e-08	7.349e-10
8.31624e-08	7.460e-10
8.35792e-08	7.573e-10
